7/22/2025 23:43:15 | DEBUG | ProfileService.Delete | Deleted profile: "ZAU"
7/22/2025 23:49:36 | DEBUG | RefreshAsync | Refreshing
7/22/2025 23:49:45 | DEBUG | RefreshAsync | Refreshing
7/22/2025 23:49:58 | DEBUG | RefreshAsync | Refreshing
7/22/2025 23:50:05 | DEBUG | RefreshAsync | Refreshing
7/22/2025 23:50:06 | DEBUG | RefreshAsync | Refreshing
7/22/2025 23:50:15 | DEBUG | RefreshAsync | Refreshing
7/22/2025 23:50:28 | DEBUG | RefreshAsync | Refreshing
7/22/2025 23:50:31 | DEBUG | ProfileService.New | Created Profile: "ZAU"
7/22/2025 23:50:31 | DEBUG | RefreshAsync | Refreshing
7/22/2025 23:50:31 | DEBUG | VideoMap.Load | Loaded: "BOUNDARY.geojson"
7/22/2025 23:50:35 | DEBUG | RefreshAsync | Refreshing
7/22/2025 23:50:36 | DEBUG | RefreshAsync | Refreshing
7/22/2025 23:50:37 | DEBUG | VideoMap.Load | Loaded: "HIGH_SECTORS.geojson"
7/22/2025 23:50:37 | DEBUG | VideoMap.Load | Unloaded: "BOUNDARY.geojson"
7/22/2025 23:50:38 | DEBUG | VideoMap.Load | Loaded: "APPROACH_CONTROL.geojson"
7/22/2025 23:50:44 | DEBUG | RefreshAsync | Refreshing
7/22/2025 23:50:46 | DEBUG | RefreshAsync | Refreshing
7/22/2025 23:50:58 | DEBUG | RefreshAsync | Refreshing
7/22/2025 23:51:01 | DEBUG | RefreshAsync | Refreshing
7/22/2025 23:51:05 | DEBUG | RefreshAsync | Refreshing
7/22/2025 23:51:06 | DEBUG | RefreshAsync | Refreshing
7/22/2025 23:51:16 | DEBUG | RefreshAsync | Refreshing
7/22/2025 23:51:28 | DEBUG | RefreshAsync | Refreshing
7/22/2025 23:51:31 | DEBUG | RefreshAsync | Refreshing
7/22/2025 23:51:35 | DEBUG | RefreshAsync | Refreshing
7/22/2025 23:51:36 | DEBUG | RefreshAsync | Refreshing
7/22/2025 23:51:46 | DEBUG | RefreshAsync | Refreshing
7/22/2025 23:51:58 | DEBUG | RefreshAsync | Refreshing
7/22/2025 23:52:01 | DEBUG | RefreshAsync | Refreshing
7/22/2025 23:52:05 | DEBUG | RefreshAsync | Refreshing
7/22/2025 23:52:06 | DEBUG | RefreshAsync | Refreshing
7/22/2025 23:52:16 | DEBUG | RefreshAsync | Refreshing
7/22/2025 23:52:28 | DEBUG | RefreshAsync | Refreshing
7/22/2025 23:52:31 | DEBUG | RefreshAsync | Refreshing
7/22/2025 23:52:35 | DEBUG | RefreshAsync | Refreshing
7/22/2025 23:52:37 | DEBUG | RefreshAsync | Refreshing
7/22/2025 23:52:46 | DEBUG | RefreshAsync | Refreshing
7/22/2025 23:52:58 | DEBUG | RefreshAsync | Refreshing
7/22/2025 23:53:01 | DEBUG | RefreshAsync | Refreshing
7/22/2025 23:53:06 | DEBUG | RefreshAsync | Refreshing
7/22/2025 23:53:07 | DEBUG | RefreshAsync | Refreshing
7/22/2025 23:53:16 | DEBUG | RefreshAsync | Refreshing
7/22/2025 23:53:28 | DEBUG | RefreshAsync | Refreshing
7/22/2025 23:53:31 | DEBUG | RefreshAsync | Refreshing
7/22/2025 23:53:36 | DEBUG | RefreshAsync | Refreshing
7/22/2025 23:53:37 | DEBUG | RefreshAsync | Refreshing
7/22/2025 23:53:46 | DEBUG | RefreshAsync | Refreshing
7/22/2025 23:53:58 | DEBUG | RefreshAsync | Refreshing
7/22/2025 23:54:01 | DEBUG | RefreshAsync | Refreshing
7/22/2025 23:54:06 | DEBUG | RefreshAsync | Refreshing
7/22/2025 23:54:07 | DEBUG | RefreshAsync | Refreshing
7/22/2025 23:54:16 | DEBUG | RefreshAsync | Refreshing
7/22/2025 23:54:29 | DEBUG | RefreshAsync | Refreshing
7/22/2025 23:54:31 | DEBUG | RefreshAsync | Refreshing
7/22/2025 23:54:36 | DEBUG | RefreshAsync | Refreshing
7/22/2025 23:54:37 | DEBUG | RefreshAsync | Refreshing
7/22/2025 23:54:46 | DEBUG | RefreshAsync | Refreshing
